I [mA]	R [Hz]
0.01	2703
0.02	4175
0.03	5244
0.04	6242
0.05	7268
0.06	7989
0.07	8652
0.08	8976
0.09	9724
0.10	9812
0.13	9818
0.17	9561
0.20	8526
0.30	7555
0.40	6530
0.60	5715
0.80	4831
1.00	3133
